"Mile","Elev","DFT","Name","Link","index","Type"
"21.1","3166","1.9","Suches GA 30572","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Suches-GA-30572/34.678/-84.000/3","1","S"
"53.2","2933","9.1","Helen GA 30545","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Helen-GA-30545/34.802/-83.743/3","1","S"
"53.3","2929","11","Hiawassee GA 30546","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Hiawassee-GA-30546/34.802/-83.743/3","1","S"
"53.2","2933","9.1","Helen GA 30545","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Helen-GA-30545/34.802/-83.743/3","2","S"
"53.3","2929","11","Hiawassee GA 30546","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Hiawassee-GA-30546/34.802/-83.743/3","2","S"
"110.6","3684","10","Franklin NC 28734","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Franklin-NC-28734/35.120/-83.547/3","2","S"
"166.4","1745","2.1","Fontana Dam NC 28733","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Fontana-Dam-NC-28733/35.441/-83.795/3","2","S"
"166.4","1745","2.1","Fontana Dam NC 28733","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Fontana-Dam-NC-28733/35.441/-83.795/3","3","S"
"209.1","5000","14.1","Gatlinburg TN 37738","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Gatlinburg-TN-37738/35.611/-83.425/3","3","S"
"276.5","1397","0.1","Hot Springs NC 28743","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Hot-Springs-NC-28743/35.890/-82.832/3","3","S"
"276.5","1397","0.1","Hot Springs NC 28743","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Hot-Springs-NC-28743/35.890/-82.832/3","4","S"
"345.8","1683","3.7","Erwin TN 37650","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Erwin-TN-37650/36.105/-82.448/3","4","S"
"393.9","2854","4.1","Roan Mountain TN 37687","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Roan-Mountain-TN-37687/36.178/-82.012/3","4","S"
"393.9","2854","4.1","Roan Mountain TN 37687","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Roan-Mountain-TN-37687/36.178/-82.012/3","5","S"
"425.4","1958","2.6","Hampton TN 37658","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Hampton-TN-37658/36.301/-82.131/3","5","S"
"445.4","3520","3.1","Shady Valley TN 37688","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Shady-Valley-TN-37688/36.480/-81.962/3","5","S"
"467.6","1991","0","Damascus VA 24236","https://www.postholer.com/databook/Appalachian-Trail/Resupply/Damascus-VA-24236/36.630/-81.780/3","5","S"
