"Mile","Elev","Type","Name","Link","index","Type"
"4.3","2516","Other","Forest Svc Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Forest-Svc-Rd/34.664/-84.184/3","1","S"
"8.1","3218","Pri/Sec","Hightower Gap Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Hightower-Gap-Rd/34.664/-84.137/3","1","S"
"8.6","2847","Pri/Sec","Appalacian Blue Ridge Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalacian-Blue-Ridge-Rd/34.664/-84.130/3","1","S"
"12.2","2807","Pri/Sec","Appalachian Blue Ridge Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Blue-Ridge-Rd/34.653/-84.085/3","1","S"
"12.2","2806","Pri/Sec","Forest Svc 15","https://www.postholer.com/databook/Appalachian-Trail/Road/Forest-Svc-15/34.653/-84.085/3","1","S"
"17.2","2818","Pri/Sec","Cooper Gap Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Cooper-Gap-Rd/34.652/-84.032/3","1","S"
"21.1","3166","State","State Rte 60","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-60/34.678/-84.000/3","1","S"
"21.1","3176","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.678/-83.999/3","1","S"
"32.2","3097","US","US Hwy 19","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-19/34.735/-83.918/3","1","S"
"38.9","3464","State","State Rte 348","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-348/34.725/-83.839/3","1","S"
"41.8","3339","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.759/-83.830/3","1","S"
"47.5","3456","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.811/-83.810/3","1","S"
"49.4","3435","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.822/-83.787/3","1","S"
"52.4","3602","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.807/-83.750/3","1","S"
"53.2","2977","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.801/-83.743/3","1","S"
"53.3","2929","State","State Rte 17","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-17/34.802/-83.743/3","1","S"
"54.6","4002","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.799/-83.731/3","2","S"
"55.8","3113","Pri/Sec","Indian Grave Gap Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Indian-Grave-Gap-Rd/34.793/-83.714/3","2","S"
"56.6","3507","Pri/Sec","Tray Mountain Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Tray-Mountain-Rd/34.793/-83.703/3","2","S"
"60.9","3668","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.821/-83.654/3","2","S"
"61.3","3730","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.825/-83.656/3","2","S"
"64.4","3333","Pri/Sec","Wildcat Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Wildcat-Rd/34.863/-83.656/3","2","S"
"64.8","3612","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.868/-83.657/3","2","S"
"65.4","4133","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.876/-83.655/3","2","S"
"65.8","3887","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.881/-83.652/3","2","S"
"66.6","3799","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.889/-83.645/3","2","S"
"66.9","3759","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.892/-83.642/3","2","S"
"66.9","3759","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.892/-83.642/3","2","S"
"67.0","3818","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.893/-83.639/3","2","S"
"67.2","3877","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.893/-83.636/3","2","S"
"67.6","3759","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.892/-83.631/3","2","S"
"69.5","2782","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.909/-83.621/3","2","S"
"69.8","2647","US","US Hwy 76","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-76/34.912/-83.619/3","2","S"
"71.7","2891","Pri/Sec","Mr Bert Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Mr-Bert-Rd/34.917/-83.596/3","2","S"
