"Order","Desc","Mile","DTN","DTP","NW","Elev","LPL","HPL","Comment","Link","index","Type","Other"
"1","Fannin","","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Fannin/34.627/-84.194/3","1","W","R X"
"2","Gilmer","0.0","0.2","0.0","","3769","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Gilmer/34.627/-84.194/3","1","W",""
"3","Springer Mountain","0.0","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Springer-Mountain/34.627/-84.194/3","1","W",""
"4","Springer Mtn","0.0","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Springer-Mtn/34.627/-84.194/3","1","W",""
"5","Springer Mountain","0.2","0.8","0.2","","3720","3694","3756","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Springer-Mountain/34.629/-84.193/3","1","W",""
"6","USFS 42","1.0","0.9","0.8","","3372","3366","3723","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/USFS-42/34.638/-84.195/3","1","W","S"
"7","Rich Mountain","1.9","0.7","0.9","","3284","3211","3405","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Rich-Mountain/34.648/-84.192/3","1","W",""
"8","Stover Creek","2.6","0.3","0.7","","2956","2956","3290","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Stover-Creek/34.649/-84.200/3","1","W",""
"9","Stover Creek","2.9","1.4","0.3","","2844","2851","2956","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Stover-Creek/34.651/-84.198/3","1","W","S"
"10","Three Forks","2.9","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Three-Forks/34.663/-84.184/3","1","W",""
"11","Forest Svc Rd","2.9","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Forest-Svc-Rd/34.664/-84.184/3","1","W",""
"12","Chester Creek","4.3","0.4","0.0","","2516","2516","2857","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Chester-Creek/34.663/-84.184/3","1","W",""
"13","Lake/pond/tank","4.7","2.6","0.4","","2555","2513","2578","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Lakepondtank/34.667/-84.179/3","1","W","X"
"14","Union","7.3","0.8","2.6","","3244","2555","3372","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Union/34.664/-84.147/3","1","W",""
"15","Hawk Mountain","8.1","0.3","0.0","","3185","3192","3218","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Hawk-Mountain/34.666/-84.136/3","1","W",""
"16","Hightower Gap Rd","8.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Hightower-Gap-Rd/34.664/-84.137/3","1","W","S X"
"17","Union","8.4","0.1","0.3","","3018","3041","3188","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Union/34.663/-84.134/3","1","W","S X"
"18","Hightower Gap Rd","8.5","0.1","0.1","","2949","2956","3018","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Hightower-Gap-Rd/34.663/-84.132/3","1","W",""
"19","USFS 42 (Hightower Gap)","8.5","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/USFS-42-Hightower-Gap/34.663/-84.130/3","1","W",""
"20","Appalacian Blue Ridge Rd","8.5","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalacian-Blue-Ridge-Rd/34.664/-84.130/3","1","W",""
"21","Lumpkin","8.5","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Lumpkin/34.664/-84.130/3","1","W",""
"22","Hightower Gap","8.6","1.9","0.0","","2847","2847","2857","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Hightower-Gap/34.664/-84.130/3","1","W",""
"23","Horse Gap","10.5","0.1","1.9","","2670","2670","3139","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Horse-Gap/34.656/-84.106/3","1","W","X"
"24","Horse Gap","10.6","1.6","0.1","","2700","2670","2700","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Horse-Gap/34.656/-84.105/3","1","W",""
"25","Cooper Gap (pull-off 2)","10.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cooper-Gap-pull-off-2/34.653/-84.085/3","1","W",""
"26","Cooper Gap (pull-off 1)","10.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cooper-Gap-pull-off-1/34.653/-84.085/3","1","W",""
"27","Appalachian Blue Ridge Rd","12.2","0.0","1.6","","2808","2807","2807","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Blue-Ridge-R/34.653/-84.085/3","1","W",""
"28","Forest Svc 15","12.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Forest-Svc-15/34.653/-84.085/3","1","W","X"
"29","Cooper Gap","12.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cooper-Gap/34.653/-84.084/3","1","W","X"
"30","Justus Mountain","12.8","0.4","0.6","","3221","2824","3221","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Justus-Mountain/34.656/-84.080/3","1","W","X"
"31","Brookshire Gap","13.2","0.5","0.4","","2896","2898","3221","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Brookshire-Gap/34.657/-84.075/3","1","W",""
"32","Deep Gap","13.7","0.6","0.5","","2709","2703","2898","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Deep-Gap/34.663/-84.070/3","1","W",""
"33","Justus Creek","14.3","1.2","0.6","","2513","2513","2709","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Justus-Creek/34.660/-84.062/3","1","W",""
