Section,Mile,DTN,Elv,Desc,IndexSorted
1,"","","",Fannin,1
1,0.0,0.2,3769,Gilmer,2
1,"","","",Springer Mountain,3
1,"","","",Springer Mtn,4
1,0.2,0.8,3720,Springer Mountain,5
1,1.0,0.9,3372,USFS 42,6
1,1.9,0.7,3284,Rich Mountain,7
1,2.6,0.3,2956,Stover Creek,8
1,2.9,1.4,2844,Stover Creek,9
1,"","","",Three Forks,10
1,"","","",Forest Svc Rd,11
1,4.3,0.4,2516,Chester Creek,12
1,4.7,2.6,2555,Lake/pond/tank,13
1,7.3,0.8,3244,Union,14
1,8.1,0.3,3185,Hawk Mountain,15
1,"","","",Hightower Gap Rd,16
1,8.4,0.1,3018,Union,17
1,8.5,0.1,2949,Hightower Gap Rd,18
1,"","","",USFS 42 (Hightower Gap),19
1,"","","",Appalacian Blue Ridge Rd,20
1,"","","",Lumpkin,21
1,8.6,1.9,2847,Hightower Gap,22
1,10.5,0.1,2670,Horse Gap,23
1,10.6,1.6,2700,Horse Gap,24
1,"","","",Cooper Gap (pull-off 2),25
1,"","","",Cooper Gap (pull-off 1),26
1,12.2,0.0,2808,Appalachian Blue Ridge Rd,27
1,"","","",Forest Svc 15,28
1,"","","",Cooper Gap,29
1,12.8,0.4,3221,Justus Mountain,30
1,13.2,0.5,2896,Brookshire Gap,31
1,13.7,0.6,2709,Deep Gap,32
1,14.3,1.2,2513,Justus Creek,33
1,15.5,0.2,2654,Blackwell Creek,34
1,15.7,0.4,2732,Gooch Mountain,35
1,16.1,0.8,2952,Union,36
1,16.9,0.2,2824,Mount Airy Creek,37
1,17.1,0.1,2814,Gooch Gap,38
1,"","","",USFS 42 (Gooch Gap),39
1,17.2,0.2,2818,Cooper Gap Rd,40
1,"","","",Gooch Gap,41
1,17.4,0.7,2877,Lumpkin,42
1,18.1,0.7,2988,Grassy Gap,43
1,18.8,0.6,3031,Liss Gap,44
1,19.4,0.2,3041,Jacks Gap,45
1,19.6,0.2,3175,Ramrock Mountain,46
1,19.8,1.3,3024,Tritt Gap,47
1,21.1,0.0,3166,Suches  GA 30572,48
1,"","","",Woody Gap,49
1,"","","",State Rte 60,50
1,"","","",Appalachian Trl,51
1,"","","",Blood Mountain Wilderness,52
1,"","","",Woody Gap,53
1,21.9,0.4,3320,Lunsford Gap,54
1,22.3,0.4,3690,Big Cedar Mountain,55
1,22.7,0.8,3589,Augerhole Gap,56
1,23.5,0.1,3267,Dan Gap,57
1,23.6,0.8,3310,Granny Top,58
1,"","","",Blood Mountain Wilderness,59
1,24.4,0.0,2860,Lumpkin,60
1,25.2,0.4,3067,Henry Gap,61
1,25.6,0.9,3215,Union,62
1,26.5,0.1,3412,Appalachian Trl,63
1,26.6,0.3,3356,Burnett Field Mountain,64
1,26.9,0.4,3284,Jarrard Gap,65
1,27.3,0.2,3533,Gaddis Mountain,66
1,27.5,0.5,3448,Horsebone Gap,67
1,28.0,0.1,3713,Woods Hole,68
1,28.1,0.3,3743,Turkey Stamp,69
1,28.4,1.3,3677,Bird Gap,70
1,29.7,1.5,4442,Blood Mountain,71
1,"","","",Blood Mountain,72
1,31.2,0.6,3444,Flatrock Gap,73
1,31.8,0.0,3270,Reese State Memorial,74
1,"","","",Blood Mountain Wilderness,75
1,"","","",Union,76
1,32.1,0.1,3097,Appalachian Trl,77
1,"","","",Walasi-yi Center,78
1,"","","",US 129 & US 19 (Neels Gap),79
1,32.2,0.2,3097,State Rte 11,80
1,"","","",Neels Gap,81
1,32.4,0.2,3202,Raven Cliffs Wilderness,82
1,32.6,0.7,3300,Lumpkin,83
1,33.3,0.6,3645,Bull Gap,84
1,33.9,0.5,3828,Levelland Mountain,85
1,34.4,0.2,3438,Swaim Gap,86
1,34.6,0.5,3510,Turkeypen Mountain,87
1,35.1,0.5,3530,Rock Spring Top,88
1,35.6,0.3,3641,Corbin Horse Stamp,89
1,35.9,0.5,3763,Wolf Laurel Top,90
1,36.4,0.5,3503,Baggs Creek Gap,91
1,36.9,0.2,3805,Green Cliff Top,92
1,37.1,0.1,3841,Cowrock,93
1,37.2,0.8,3809,White,94
1,38.0,0.1,3139,Tesnatee Gap,95
1,38.1,0.8,3139,Tesnatee Gap,96
1,38.9,0.1,3464,Richard B Russell Scenic Hwy,97
1,39.0,0.0,3464,GA 348,98
1,"","","",Mark Trail Wilderness,99
1,"","","",Hogpen Gap,100
1,39.2,0.1,3556,Wolfpen Stamp,101
1,39.3,0.2,3595,Mark Trail Wilderness,102
1,"","","",Union,103
1,39.5,0.3,3562,White,104
1,"","","",Appalachian Trl,105
1,39.8,0.6,3458,White Oak Stamp Gap,106
1,40.4,0.3,3540,Strawberry Top,107
1,40.7,0.2,3474,Sapling Gap,108
1,40.9,0.7,3628,Poor Mountain,109
1,41.6,0.2,3182,Wide Gap,110
1,41.8,0.9,3339,Appalachian Trl,111
1,42.7,0.9,3559,Sheep Rock Top,112
1,43.6,0.1,3031,Low Gap,113
1,43.7,1.2,3061,Low Gap,114
1,44.9,2.6,3343,Poplar Stomp Gap,115
1,47.5,0.1,3458,Appalachian Trl,116
1,47.6,1.1,3405,Cold Springs Gap,117
1,48.7,0.1,3526,Chattahoochee Gap,118
1,48.8,0.3,3507,Mark Trail Wilderness,119
1,"","","",Union,120
1,49.1,0.2,3353,Chattahoochee River,121
1,49.3,0.1,3441,Towns,122
1,49.4,0.0,3435,Appalachian Trl,123
1,"","","",Red Clay Gap,124
1,50.4,0.2,3608,Red Knob,125
1,50.6,0.4,3579,Henson Gap,126
1,51.0,0.8,3881,Blue Mountain Shelter,127
1,51.8,0.6,4015,Blue Mountain,128
1,52.4,0.6,3602,Appalachian Trl,129
1,53.0,0.1,3034,White,130
1,53.1,0.1,2975,Unicoi Gap,131
1,53.2,0.1,2933,Helen  GA 30545,132
1,"","","",Appalachian Trl,133
1,53.3,0.0,2929,Hiawassee  GA 30546,134
1,"","","",State Rte 17,135
1,"","","",Hiawassee GA,136
2,53.3,1.3,2939,GA 75 (Unicoi Gap),137
2,54.6,1.2,4002,Appalachian Trl,138
2,"","","",Rocky Mountain,139
2,"","","",USFS 283 (Indian Grave Gap),140
2,55.8,0.1,3113,Indian Grave Gap Rd,141
2,55.9,0.7,3129,Indian Grave Gap,142
2,56.6,0.8,3507,Tray Mountain Rd,143
2,57.4,0.1,3838,White,144
2,"","","",Appalachian Trl,145
2,57.5,0.1,3822,Towns,146
2,57.6,0.8,3828,USFS 79 (Tray Gap),147
2,"","","",Tray Mountain Rd,148
2,"","","",Tray Mountain Wilderness,149
2,"","","",Tray Gap,150
2,58.4,0.2,4383,Tray Mountain,151
2,58.6,0.3,4317,Habersham,152
2,58.9,1.1,4074,Tray Mountain Shelter,153
2,60.0,0.5,3566,Wolfpen Gap,154
2,60.5,0.4,3461,Steeltrap Gap,155
2,60.9,0.1,3667,Appalachian Trl,156
2,61.0,0.1,3750,Young Lick,157
2,61.1,0.2,3750,Rabun,158
2,61.3,0.9,3730,Appalachian Trl,159
2,62.2,0.9,3480,Blue Ridge Swag,160
2,63.1,0.4,3779,Round Top,161
2,63.5,0.8,3533,Sassafras Gap,162
2,64.3,0.1,3333,Addis Gap,163
2,64.4,0.4,3333,Wildcat Rd,164
2,64.8,0.6,3612,Appalachian Trl,165
2,65.4,0.3,4133,Appalachian Trl,166
2,65.7,0.1,3910,Dismal Gap,167
2,65.8,0.1,3887,Appalachian Trl,168
2,65.9,0.3,3841,Dismal Knob,169
2,66.2,0.1,3579,Deep Gap,170
2,66.3,0.3,3553,Deep Gap,171
2,66.6,0.0,3799,Appalachian Trl,172
2,"","","",Whiteoak Stomp,173
2,66.7,0.2,3812,Wolfstake Knob,174
2,66.9,0.0,3759,Appalachian Trl,175
2,"","","",Appalachian Trl,176
2,67.0,0.2,3818,Appalachian Trl,177
2,67.2,0.2,3877,Appalachian Trl,178
2,67.4,0.1,3769,McClure Gap,179
2,67.5,0.1,3812,Powell Mountain,180
2,67.6,0.4,3759,Appalachian Trl,181
2,68.0,0.3,3628,Rabun,182
2,68.3,0.3,3349,Appalachian Trl,183
2,68.6,0.8,3067,Moreland Gap,184
2,69.4,0.1,2857,Dicks Creek,185
2,"","","",Appalachian Trl,186
2,69.5,0.3,2782,Towns,187
2,69.8,1.8,2647,Dicks Creek Gap,188
2,"","","",State Rte 2,189
2,"","","",Dicks Creek Gap,190
2,71.6,0.1,2883,Cowart Gap,191
2,71.7,1.3,2890,Mr Bert Rd,192
2,73.0,0.2,3671,Buzzard Knob,193
2,73.2,0.2,3546,Bull Gap,194
2,73.4,1.0,3658,Appalachian Trl,195
2,74.4,0.1,3106,Plumorchard Gap,196
2,74.5,0.7,3152,Plumorchard Gap,197
2,75.2,0.5,3385,As Knob,198
2,"","","",Blue Ridge Gap,199
2,75.7,0.9,3015,Charlies Creek Rd,200
2,"","","",Southern Nantahala Wilderness,201
2,"","","",Blue Ridge Gap,202
2,"","","",Appalachian Trl,203
2,"","","",Chattahoochee-Oconee National Forests,204
2,"","","",Southern Nantahala Wilderness,205
2,76.6,0.3,3379,Towns,206
2,"","","",Georgia,207
2,76.9,0.1,3421,Rich Cove Gap,208
2,77.0,1.7,3507,Rocky Knob,209
2,"","","",National Forests in North Carolina,210
2,"","","",Clay,211
2,78.7,0.1,3818,North Carolina,212
2,78.8,0.1,3789,Appalachian Trl,213
2,78.9,0.4,3782,Bly Gap,214
2,79.3,0.9,4271,Sharp Top,215
2,80.2,0.6,4642,Courthouse Bald,216
2,80.8,0.9,4274,Sassafras Gap,217
2,81.7,0.4,4563,Muskrat Creek,218
2,82.1,1.5,4543,Whiteoak Stamp,219
2,83.6,1.0,4461,Wateroak Gap,220
2,84.6,0.3,4835,Macon,221
2,84.9,0.8,4753,Yellow Mountain,222
2,"","","",Deep Gap,223
2,85.7,0.0,4337,National Forest Rd,224
2,85.8,0.2,4333,Deep Gap,225
2,86.0,0.3,4455,Macon,226
