Shelter or Town Name,Miles offof AT,Miles SinceLast Shelter,State,Water?,Miles fromSpringer,Miles fromKatahdin
Amicalola Falls State Park Shelter,0,0,GA,Y,-8.8,2182.9
Black Gap Shelter,0,7.3,GA,Y,-1.5,2175.6
Springer Mountain Terminus,0,1.5,GA,N,0,2174.1
Springer Mountain Shelter,0.2,1.7,GA,Y,0.2,2173.9
Stover Creek Shelter,0,2.5,GA,Y,2.5,2171.6
Hawk Mountain Shelter,0.2,5.3,GA,Y,7.6,2166.5
Gooch Mountain Shelter,0.1,7.4,GA,Y,14.7,2159.4
"Suches, Georgia",2,6.1,GA,Y,20,2154.1
Woods Hole Shelter,0.4,12.4,GA,Y,27,2147.1
Blood Mountain Shelter,0,2.1,GA,N,28.3,2145.8
Neels Gap & US 19/129 & Walasi-Yi,0,0,GA,Y,30.7,2143.4
Whitley Gap Shelter,1.2,9.8,GA,Y,38.1,2136
Low Gap Shelter,0,5.6,GA,Y,41.3,2132.8
Tray Mountain Shelter,0.2,7.9,GA,Y,46.2,2117.9
Blue Mountain Shelter,0,7.2,GA,Y,48.5,2125.6
"Helen, Georgia",9,11.2,GA,Y,50.7,2123.4
Deep Gap Shelter,0.3,7.6,GA,Y,63.6,2110.5
"Hiawassee, Georgia",11,14.8,GA,Y,66.8,2107.3
Plumorchard Gap Shelter,0.2,8.3,NC-TN,Y,71.3,2102.8
NC-GA Line,0,4.1,NC-TN,N,75.4,2098.7
Muskrat Creek Shelter,0,7.5,NC-TN,Y,78.4,2095.7
Standing Indian Shelter,0,4.9,NC-TN,Y,83.3,2090.8
Carter Gap Shelter,0,7.6,NC-TN,Y,90.9,2083.2
Big Spring Shelter,0,6.8,NC-TN,Y,97.7,2076.4
Rock Gap Shelter,0,5.3,NC-TN,Y,103,2071.1
"Franklin, North Carolina",10,13.8,NC-TN,Y,106.8,2067.3
Silver Bald Shelter,0.5,8,NC-TN,Y,111,2063.1
Cold Spring Shelter,0,12.6,NC-TN,Y,122.6,2051.5
Wesser Bald Shelter,0,5.8,NC-TN,Y,128.4,2045.7
A. Rufus Morgan Shelter,0,4.9,NC-TN,Y,133.3,2040.8
Sassafras Gap Shelter,0,7.7,NC-TN,Y,141,2033.1
Brown Fork Shelter,0,9.1,NC-TN,Y,150.1,2024
Cable Gap Shelter,0,6.1,NC-TN,Y,156.2,2017.9
"Fontana Dam, North Carolina",2,7.5,NC-TN,Y,161.7,2012.4
Fontana Dam Shelter,0,6.6,NC-TN,Y,162.8,2011.3
Mollies Ridge Shelter,0,11.3,NC-TN,Y,174.1,2000
Russell Field Shelter,0,2.5,NC-TN,Y,176.6,1997.5
Spence Field Shelter,0.2,3.1,NC-TN,Y,179.7,1994.4
Derrick Knob Shelter,0,6.5,NC-TN,Y,186,1988.1
Siler’s Bald Shelter,0,5.5,NC-TN,Y,191.3,1982.8
Double Spring Gap Shelter,0,1.7,NC-TN,Y,193,1981.1
Mt. Collins Shelter,0.5,6.8,NC-TN,Y,199.8,1974.3
Icewater Spring Shelter,0,8,NC-TN,Y,206.8,1967.3
Pecks Corner Shelter,0.4,7.8,NC-TN,Y,214.6,1959.5
Tri-Corner Knob Shelter,0,5.6,NC-TN,Y,219.4,1954.7
Cosby Knob Shelter,0,7.7,NC-TN,Y,227.1,1947
Davenport Gap Shelter,0,7.1,NC-TN,Y,234.2,1939.9
Groundhog Creek Shelter,0,10.7,NC-TN,Y,244.7,1929.4
Roaring Fork Shelter,0,11.5,NC-TN,Y,256,1918.1
Walnut Mountain Shelter,0,1.8,NC-TN,Y,257.8,1916.3
Deer Park Mountain Shelter,0,9.9,NC-TN,Y,267.7,1906.4
"Hot Springs, North Carolina",0,3.2,NC-TN,Y,270.9,1903.2
Spring Mountain Shelter,0,14.2,NC-TN,Y,281.9,1892.2
Little Laurel Shelter,0,8.6,NC-TN,Y,290.5,1883.6
Jerry Cabin Shelter,0,6.7,NC-TN,Y,297.3,1876.8
Flint Mountain Shelter,0.1,5.9,NC-TN,Y,303.2,1870.9
Hogback Ridge Shelter,0,8.8,NC-TN,Y,312.1,1862
Bald Mountain Shelter,0,10.2,NC-TN,Y,322,1852.1
No Business Knob Shelter,0,10.6,NC-TN,Y,332.6,1841.5
"Erwin, Tennessee",3.8,10.1,NC-TN,Y,338.3,1835.8
Curley Maple Gap Shelter,0,10.5,NC-TN,Y,343.1,1831
Cherry Gap Shelter,0,12.1,NC-TN,Y,355.2,1818.9
Clyde Smith Shelter,0.1,8.8,NC-TN,Y,364.1,1810
Roan High Knob Shelter,0,6.5,NC-TN,Y,370.4,1803.7
Stan Murray Shelter,0,4.8,NC-TN,Y,375.2,1798.9
Overmountain Shelter,0.3,2,NC-TN,Y,377.2,1796.9
"Elk Park, North Carolina",2.5,0.3,NC-TN,Y,384.5,1789.6
Apple House Shelter,0,8.5,NC-TN,Y,385.1,1789
"Roan Mountain, Tennessee",3.4,3.9,NC-TN,Y,385.6,1788.5
Moreland Gap Shelter,0,18,TN,Y,403.1,1771
